(36, 1, 9, 29, 640);י;ל;ט;ר;ג;א;ם;י;ש;ל;ש;ב;ה;ז;י;ל;ט;ר;ג;א;(36, 1, 9, 10, 621)
(36, 1, 9, 49, 660);ר;ש;ע;ו;ה;ע;ש;ת;ם;י;פ;ל;ח;מ;ף;ל;א;ף;ס;כ;(36, 1, 9, 30, 641)
(36, 1, 10, 18, 680);י;ר;ו;פ;כ;ם;י;ש;ל;ש;ב;ה;ז;י;ר;ו;פ;כ;ם;י;(36, 1, 9, 50, 661)
(36, 1, 10, 38, 700);ר;ש;ע;ו;ת;ו;א;מ;ע;ב;ר;א;ם;י;נ;ש;מ;ף;ס;כ;(36, 1, 10, 19, 681)
(36, 1, 11, 7, 720);ל;ם;י;ל;כ;ל;כ;ף;ל;א;ם;י;ר;ח;א;ם;י;ל;כ;ה;(36, 1, 10, 39, 701)
(36, 1, 11, 27, 740);ר;א;ו;ם;י;פ;ל;א;ת;ש;מ;ח;ף;ס;כ;ל;ו;ב;ה;ז;(36, 1, 11, 8, 721)
(36, 1, 11, 47, 760);ם;ע;ר;צ;ב;ש;ש;ה;ל;ע;ה;ל;כ;ה;ת;ו;א;מ;ע;ב;(36, 1, 11, 28, 741)
(36, 1, 11, 67, 780);ל;ש;ו;ר;י;ל;ל;ב;ב;מ;ה;ל;ו;ג;ה;ת;ו;ל;ע;ה;(36, 1, 11, 48, 761)
(36, 2, 1, 19, 800);מ;ם;י;ל;ע;ה;ה;נ;י;ד;מ;ה;י;נ;ב;ה;ל;א;ו;ם;(36, 1, 11, 68, 781)
(36, 2, 1, 39, 820);ד;כ;ו;ב;נ;ה;ל;ג;ה;ר;ש;א;ה;ל;ו;ג;ה;י;ב;ש;(36, 2, 1, 20, 801)
(36, 2, 1, 59, 840);ו;ב;ו;ש;י;ו;ל;ב;ב;ל;ל;ב;ב;ך;ל;מ;ר;ו;צ;נ;(36, 2, 1, 40, 821)
(36, 2, 1, 79, 860);ר;י;ע;ל;ש;י;א;ה;ד;ו;ה;י;ו;ם;ל;ש;ו;ר;י;ל;(36, 2, 1, 60, 841)
(36, 2, 2, 19, 880);ח;נ;ע;ו;ש;י;ל;ב;ב;ר;ז;ם;ע;ו;א;ב;ר;ש;א;ו;(36, 2, 1, 80, 861)
(36, 2, 2, 39, 900);ש;ל;ב;י;כ;ד;ר;מ;ה;י;ל;ע;ר;ה;י;ר;ש;ה;י;מ;(36, 2, 2, 20, 881)
(36, 2, 2, 59, 920);פ;ס;מ;ה;נ;ע;ב;ם;ו;ח;ר;י;ו;ג;ב;ר;פ;ס;מ;ן;(36, 2, 2, 40, 901)
(36, 2, 3, 8, 940);א;ש;ע;ר;פ;י;נ;ב;ל;א;ר;ש;י;ם;ע;י;ש;נ;א;ר;(36, 2, 2, 60, 921)
(36, 2, 4, 3, 960);י;נ;ב;ם;י;נ;ש;ו;ם;י;ע;ב;ש;ה;א;מ;ם;י;פ;ל;(36, 2, 3, 9, 941)
(36, 2, 4, 23, 980);נ;ש;ו;ם;י;ע;ב;ש;ת;ו;א;מ;ש;ל;ש;ה;י;ט;פ;ש;(36, 2, 4, 4, 961)
